zipcode,city,is_manhattan,origin_lat,origin_lon,facility_code,facility_name,facility_type,facility_lat,facility_lon,facility_km,flight_dist_km,flight_time_min,car_to_facility_base_min,car_to_facility_dist_km,car_to_airport_base_min,car_to_airport_dist_km,speed_to_facility_normal_kmh,speed_to_facility_rush_kmh,speed_to_facility_worst_kmh,speed_to_airport_normal_kmh,speed_to_airport_rush_kmh,speed_to_airport_worst_kmh,fast_car_to_facility_min,fast_heli_total_min,fast_car_direct_min,fast_savings_min,normal_car_to_facility_min,normal_heli_total_min,normal_car_direct_min,normal_savings_min,rush_car_to_facility_min,rush_heli_total_min,rush_car_direct_min,rush_savings_min,worst_car_to_facility_min,worst_heli_total_min,worst_car_direct_min,worst_savings_min
07920,NY,False,40.68370018073224,-74.55444967297953,9NJ3,NEW JERSEY,HELIPORT,40.7273333333333,-74.5356111111111,5.105044091402053,64.58594834469322,19.375784503407967,0.0,0.0,62.388333333333335,57.6109,,,,55.4,33.0,11.8,0.0,39.4,62.4,23.0,0.0,39.4,78.0,38.6,0.0,39.4,104.8,65.4,0.0,39.4,292.0,252.6
07021,NY,False,40.82703072454318,-74.27985170640154,JY00,NEW JERSEY,HELIPORT,40.863,-74.3175555555556,5.104450478658658,51.69693799501101,15.509081398503305,0.0,0.0,48.43,47.6727,,,,59.1,35.2,12.6,0.0,35.5,48.4,12.9,0.0,35.5,60.5,25.0,0.0,35.5,81.4,45.9,0.0,35.5,226.7,191.1
07932,NY,False,40.77716782644973,-74.39246489136343,NJ51,NEW JERSEY,HELIPORT,40.7933305555556,-74.3802777777778,2.0694897928526634,53.49214155809733,16.0476424674292,0.0,0.0,49.67333333333333,47.6616,,,,57.6,34.3,12.3,0.0,36.0,49.7,13.6,0.0,36.0,62.1,26.0,0.0,36.0,83.5,47.4,0.0,36.0,232.5,196.4
07039,NY,False,40.785531876800334,-74.32909100476479,08NJ,NEW JERSEY,HELIPORT,40.7626005555556,-74.3040372222222,3.3094645977167874,46.34178643388003,13.90253593016401,0.0,0.0,49.65333333333333,47.653400000000005,,,,57.6,34.3,12.3,0.0,33.9,49.7,15.8,0.0,33.9,62.1,28.2,0.0,33.9,83.4,49.5,0.0,33.9,232.4,198.5
07302,NY,False,40.71892353703899,-74.04460644248228,05NJ,NEW JERSEY,HELIPORT,40.7133972222222,-74.0320222222222,1.225757976555522,22.86460125396067,6.859380376188201,2.4,1.0347,35.0,28.6914,25.9,15.4,5.5,49.2,29.3,10.5,2.4,29.3,35.0,5.7,3.0,29.9,43.8,13.9,4.0,30.9,58.8,27.9,11.2,38.1,163.8,125.7
07632,NY,False,40.88227243121598,-73.94672395001496,NJ54,NEW JERSEY,HELIPORT,40.8538611111111,-73.9695555555556,3.696803554089238,28.61412547121273,8.584237641363819,2.8316666666666666,3.0331,37.56166666666666,37.9605,64.3,38.3,13.7,60.6,36.1,13.0,2.8,31.4,37.6,6.1,3.5,32.1,47.0,14.8,4.8,33.3,63.1,29.8,13.3,41.8,175.8,134.0
07677,NY,False,41.02529141899981,-74.06034310648383,82NJ,NEW JERSEY,HELIPORT,40.9843388888889,-74.0155055555555,5.906996889305483,43.059909450503824,12.917972835151147,15.761666666666667,11.0312,76.12666666666668,77.92880000000001,42.0,25.0,9.0,61.4,36.6,13.1,15.8,48.7,76.1,27.4,19.7,52.6,95.2,42.5,26.5,59.4,127.9,68.5,73.8,106.7,356.3,249.6
07960,NY,False,40.78448306276672,-74.49814859283569,7NJ5,NEW JERSEY,HELIPORT,40.7893666666667,-74.4658194444444,2.775451926879703,60.25469290203624,18.076407870610872,0.0,0.0,49.75,47.6938,,,,57.5,34.2,12.3,0.0,38.1,49.8,11.7,0.0,38.1,62.2,24.1,0.0,38.1,83.6,45.5,0.0,38.1,232.8,194.8
07470,NY,False,40.94805001919339,-74.24503048292713,6NJ3,NEW JERSEY,HELIPORT,40.9811111111111,-74.2530555555556,3.73746909770207,55.004377580930914,16.501313274279276,12.613333333333333,8.4476,80.815,82.7681,40.2,23.9,8.6,61.5,36.6,13.1,12.6,49.1,80.8,31.7,15.8,52.3,101.0,48.8,21.2,57.7,135.8,78.1,59.0,95.5,378.2,282.7
07079,NY,False,40.74908759281836,-74.26015777385203,08NJ,NEW JERSEY,HELIPORT,40.7626005555556,-74.3040372222222,3.989722074312792,46.34178643388003,13.90253593016401,0.0,0.0,48.43,47.6727,,,,59.1,35.2,12.6,0.0,33.9,48.4,14.5,0.0,33.9,60.5,26.6,0.0,33.9,81.4,47.5,0.0,33.9,226.7,192.7
