zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,centroid_lat,centroid_lon,Travel_Time_Min,Distance_km,Revenue_Norm,Employment_Norm,PowerShare_Norm,Distance_Norm,Distance_Squared,Corporate_Score,threshold_90
11050,new_york,1198,13153,1091490,5422.0,1828.0,0.3371449649575802,4434,2630.6,1551.9,33.71094046985478,58.99414582224588,New York,40.840447448229575,-73.69262681281323,48.916666666666664,32.611111111111114,0.07345080845597475,0.07345080845597475,0.33710940469854783,0.08027935594045568,0.006444774990214377,0.056742042029490895,0.0905764210727858
11096,new_york,352,4940,373792,1353.0,144.0,0.106430155210643,525,988.0,183.75,10.62753036437247,18.59817813765182,New York,40.62141671512374,-73.75289061148543,0.0,3.0681945547995655,0.02757965874500824,0.02757965874500824,0.1062753036437247,0.006583966738127549,4.334861800876992e-05,0.00928416570514669,0.0905764210727858
11101,new_york,2988,57450,4960074,14366.0,4020.0,0.2798273701795907,16076,11490.0,5626.6,27.982593559617055,48.969538729329855,New York,40.7467286357547,-73.93915096254219,54.61666666666667,36.41111111111111,0.32085788488927364,0.32085788488927364,0.2798259355961705,0.08975853103933462,0.008056593894339197,0.1504411886009578,0.0905764210727858
11102,new_york,806,7870,405964,3593.0,868.0,0.2415808516559977,1901,1574.0,665.35,24.155019059720452,42.2712833545108,New York,40.77164851201413,-73.92612651714892,0.0,19.125038900419455,0.043944259822949534,0.04394425982294954,0.2415501905972045,0.04663808228748945,0.0021751107194546374,0.031105256434598983,0.0905764210727858
11103,new_york,1177,7096,384765,5467.0,1283.0,0.2346808121456008,1665,1419.2,582.75,23.46392333709132,41.06186583990981,New York,40.762596586397464,-73.91328196675279,0.0,17.65712117602012,0.03962132424809405,0.03962132424809405,0.2346392333709132,0.04297633251371861,0.001846965156329707,0.02802242283519058,0.0905764210727858
11104,new_york,600,5141,316418,2581.0,638.0,0.247191011235955,1270,1028.2,444.5,24.703365104065355,43.230888932114375,New York,40.74484546979223,-73.92046773910404,0.0,16.63239539999084,0.028702281549331174,0.028702281549331174,0.24703365104065356,0.04042013381389857,0.0016337872175334665,0.022345917746504337,0.0905764210727858
11105,new_york,1062,8711,622449,4793.0,1223.0,0.2551637805132485,2222,1742.2,777.7,25.50797841809207,44.638962231661125,New York,40.779086825704006,-73.90652235727161,0.0,18.75919172015022,0.048641402999246,0.048641402999246,0.2550797841809207,0.045725469266120186,0.0020908185396069016,0.033236756846888794,0.0905764210727858
11106,new_york,1132,8951,459749,5128.0,1278.0,0.2492199687987519,2230,1790.2,780.5,24.913417495251927,43.59848061669087,New York,40.76193558668891,-73.93170593986925,0.0,18.64423806584393,0.049981848138736074,0.049981848138736074,0.24913417495251927,0.04543871510363984,0.002064676830269747,0.033625087213256445,0.0905764210727858
11109,new_york,78,416,22891,221.0,127.0,0.5746606334841629,239,83.2,83.65,57.45192307692307,100.5408653846154,New York,40.74629201329322,-73.95700616025992,51.15,34.099999999999994,0.0023122678656203747,0.0023122678656203747,0.5745192307692307,0.08399341869849594,0.007054894384660847,0.0066102608198403065,0.0905764210727858
11201,new_york,3141,47740,3930718,15207.0,6600.0,0.4340106529887552,20719,9548.0,7251.65,43.39966485127776,75.94941348973606,New York,40.6948124781143,-73.99012392760484,57.05,38.03333333333333,0.2666257086207378,0.2666257086207378,0.43399664851277764,0.09380519643242329,0.008799414877725517,0.14499400001826548,0.0905764210727858
