zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
2655,other,209,1523,99999,730.0,218.0,0.2986301369863013,454,319.25,158.9,29.80958634274458,49.77290524667189,Other
2657,other,348,1347,103344,1416.0,191.0,0.1348870056497175,181,238.25,63.35,13.437268002969564,26.589716684155302,Other
2659,other,47,215,12233,105.0,6.0,0.0571428571428571,12,34.65,4.2,5.5813953488372094,12.12121212121212,Other
2872,other,8,25,949,4.0,0.0,0.0,0,3.75,0.0,0.0,0.0,Other
2873,other,6,14,766,0.0,0.0,0.0,0,2.1,0.0,0.0,0.0,Other
2874,other,101,356,20832,291.0,139.0,0.4776632302405498,170,87.4,59.5,47.752808988764045,68.07780320366132,Other
2875,other,7,29,1691,14.0,0.0,0.0,0,4.35,0.0,0.0,0.0,Other
2876,other,36,453,23616,48.0,12.0,0.25,113,90.55,39.55,24.944812362030905,43.67752622860298,Other
2878,other,367,2905,115902,1416.0,269.0,0.1899717514124294,551,545.95,192.85,18.967297762478484,35.32374759593369,Other
2879,other,660,6801,335340,2827.0,685.0,0.2423063318004952,1647,1349.5500000000002,576.45,24.217026907807675,42.71423807935978,Other
2881,other,89,642,25966,297.0,32.0,0.1077441077441077,69,110.1,24.15,10.74766355140187,21.934604904632156,Other
2882,other,380,3110,148107,1489.0,319.0,0.2142377434519811,666,599.7,233.1,21.414790996784568,38.86943471735867,Other
2885,other,379,3371,155239,1430.0,226.0,0.158041958041958,532,612.05,186.2,15.7816671610798,30.422351115104973,Other
2886,other,1592,32007,1833525,7432.0,2169.0,0.2918460710441334,9341,6669.25,3269.35,29.18424094729278,49.02125426397271,Other
2888,other,672,7261,388808,2805.0,610.0,0.2174688057040998,1579,1404.9499999999998,552.65,21.74631593444429,39.33591942773765,Other
2889,other,408,3178,114034,1708.0,284.0,0.1662763466042154,528,582.3,184.8,16.614222781623663,31.736218444100984,Other
2891,other,707,7503,382608,3049.0,630.0,0.2066251229911446,1550,1435.45,542.5,20.658403305344528,37.79302657703159,Other
2892,other,118,2785,229928,340.0,33.0,0.0970588235294117,270,471.75,94.5,9.694793536804308,20.03179650238474,Other
2893,other,514,6866,396675,2048.0,392.0,0.19140625,1314,1292.6999999999998,459.9,19.137780367025925,35.57669993037828,Other
2894,other,12,103,5875,3.0,0.0,0.0,0,15.45,0.0,0.0,0.0,Other
2895,other,727,14210,757212,3040.0,584.0,0.1921052631578947,2729,2677.3,955.15,19.204785362420832,35.67586747842976,Other
2896,other,323,3646,164722,1227.0,220.0,0.1792991035044824,653,677.5,228.55,17.91003839824465,33.73431734317343,Other
2898,other,85,937,34169,229.0,25.0,0.1091703056768559,102,160.95,35.7,10.88580576307364,22.18080149114632,Other
2903,other,1566,38469,2838681,7330.0,3394.0,0.4630286493860845,17812,9332.75,6234.2,46.30221736983025,66.79917494843427,Other
2904,other,795,12497,609982,3502.0,699.0,0.1996002284408909,2494,2373.35,872.9,19.95678962951108,36.77923610087008,Other
2905,other,548,9680,590441,2248.0,397.0,0.1766014234875444,1709,1793.8000000000002,598.15,17.65495867768595,33.3454119745791,Other
2906,other,737,11008,565405,3304.0,1038.0,0.3141646489104116,3458,2342.8,1210.3,31.413517441860467,51.66040635137442,Other
