zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
68975,other,0.0,0,0.0,3,8,0.0,0.0
68977,other,0.0,0,0.0,4,23,0.0,0.0
68978,other,70.0,203,71.05,119,934,21.734475374732334,58.82352941176471
68979,other,30.0,96,33.6,87,654,14.678899082568808,34.48275862068966
68980,other,0.0,0,0.0,14,37,0.0,0.0
68981,other,0.0,0,0.0,5,14,0.0,0.0
68982,other,0.0,0,0.0,18,55,0.0,0.0
69001,other,343.0,837,292.95,359,3318,25.22603978300181,95.54317548746518
69020,other,0.0,0,0.0,10,30,0.0,0.0
69021,other,10.0,50,17.5,54,347,14.409221902017292,18.51851851851852
69022,other,35.0,146,51.1,59,524,27.86259541984733,59.32203389830508
69023,other,0.0,0,0.0,5,26,0.0,0.0
69024,other,0.0,0,0.0,31,185,0.0,0.0
69025,other,10.0,49,17.15,32,208,23.557692307692307,31.25
69027,other,0.0,0,0.0,5,9,0.0,0.0
69028,other,0.0,0,0.0,25,105,0.0,0.0
69029,other,0.0,0,0.0,10,45,0.0,0.0
69030,other,0.0,0,0.0,3,9,0.0,0.0
69032,other,0.0,0,0.0,13,34,0.0,0.0
69033,other,93.0,245,85.75,125,944,25.95338983050847,74.4
69034,other,3.0,95,33.25,17,95,100.0,17.647058823529413
69038,other,0.0,0,0.0,7,53,0.0,0.0
69040,other,0.0,0,0.0,12,20,0.0,0.0
69043,other,0.0,0,0.0,12,41,0.0,0.0
69044,other,0.0,0,0.0,18,176,0.0,0.0
69045,other,3.0,9,3.15,27,97,9.278350515463918,11.11111111111111
69101,other,874.0,2296,803.6,866,10036,22.877640494220806,100.92378752886837
69120,other,3.0,7,2.45,34,118,5.932203389830509,8.823529411764707
69121,other,0.0,0,0.0,12,71,0.0,0.0
69122,other,0.0,0,0.0,17,142,0.0,0.0
69123,other,0.0,0,0.0,12,50,0.0,0.0
69125,other,0.0,0,0.0,3,3,0.0,0.0
69127,other,0.0,0,0.0,23,93,0.0,0.0
69129,other,16.0,29,10.15,32,133,21.804511278195488,50.0
69130,other,107.0,288,100.8,170,1539,18.71345029239766,62.94117647058823
69131,other,0.0,0,0.0,8,17,0.0,0.0
69134,other,0.0,0,0.0,11,63,0.0,0.0
69138,other,170.0,407,142.45,178,1481,27.481431465226198,95.50561797752809
69140,other,63.0,217,75.95,85,724,29.972375690607734,74.11764705882354
69141,other,0.0,0,0.0,10,54,0.0,0.0
69143,other,0.0,0,0.0,26,127,0.0,0.0
69144,other,0.0,0,0.0,6,6,0.0,0.0
69145,other,30.0,88,30.8,117,1020,8.627450980392156,25.64102564102564
69146,other,0.0,0,0.0,7,13,0.0,0.0
69147,other,0.0,0,0.0,8,43,0.0,0.0
69148,other,0.0,0,0.0,4,24,0.0,0.0
69149,other,0.0,0,0.0,6,16,0.0,0.0
69150,other,0.0,0,0.0,20,104,0.0,0.0
69151,other,0.0,0,0.0,5,44,0.0,0.0
69152,other,0.0,0,0.0,25,118,0.0,0.0
69153,other,292.0,683,239.05,273,2265,30.154525386313463,106.95970695970696
69154,other,0.0,0,0.0,31,110,0.0,0.0
69155,other,0.0,0,0.0,29,200,0.0,0.0
